label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
0,0.0,0.0,-0.07215851545333862,-0.012441933155059814,-0.1414550542831421,-0.0835677981376648,-0.16227200627326965,-0.16612061858177185,-0.12744039297103882,-0.21594387292861938,-0.11209931969642639,-0.1819397509098053,-0.14464634656906128,-0.2105032503604889,-0.1312636137008667,-0.1404130458831787,-0.11551111936569214,-0.12574350833892822,-0.07325458526611328,-0.1980501115322113,-0.10533839464187622,-0.21822354197502136,-0.08861830830574036,-0.13228970766067505,-0.06933695077896118,-0.1293380856513977,-0.03183466196060181,-0.20369890332221985,-0.06296953558921814,-0.208970308303833,-0.05088144540786743,-0.12525147199630737,-0.034443438053131104,-0.12146329879760742,0.014645397663116455,-0.20228448510169983,-0.022233545780181885,-0.19871118664741516,-0.01859724521636963,-0.136066734790802,-0.004136443138122559,-0.12856751680374146
0,0.0,0.0,-0.07297340035438538,-0.007965385913848877,-0.1437402367591858,-0.0758867859840393,-0.16947591304779053,-0.15547531843185425,-0.1354033648967743,-0.20791447162628174,-0.12171605229377747,-0.18374532461166382,-0.15399324893951416,-0.20036160945892334,-0.13543152809143066,-0.13428223133087158,-0.12213608622550964,-0.13473397493362427,-0.08255204558372498,-0.2020566761493683,-0.11585479974746704,-0.21074062585830688,-0.09381484985351562,-0.12398046255111694,-0.07836434245109558,-0.1346585750579834,-0.04169052839279175,-0.20887920260429382,-0.07258930802345276,-0.19825619459152222,-0.056347787380218506,-0.11583977937698364,-0.042456865310668945,-0.12703025341033936,0.0022794008255004883,-0.20776581764221191,-0.032191693782806396,-0.19202852249145508,-0.026218712329864502,-0.13206499814987183,-0.01310354471206665,-0.13516700267791748
0,0.0,0.0,-0.07561919093132019,-0.009776651859283447,-0.14438608288764954,-0.07662683725357056,-0.1678178906440735,-0.15501034259796143,-0.1350153684616089,-0.2070489227771759,-0.12212321162223816,-0.1815468966960907,-0.15644106268882751,-0.1999892294406891,-0.1376602053642273,-0.13382333517074585,-0.12141978740692139,-0.12877404689788818,-0.08364194631576538,-0.2004835605621338,-0.11849585175514221,-0.21134474873542786,-0.09702348709106445,-0.12581372261047363,-0.07944944500923157,-0.13153225183486938,-0.04265475273132324,-0.20796194672584534,-0.076009601354599,-0.2016255259513855,-0.059668898582458496,-0.11848169565200806,-0.043575406074523926,-0.12419182062149048,0.002352416515350342,-0.20700028538703918,-0.0351099967956543,-0.19386529922485352,-0.028733015060424805,-0.13333994150161743,-0.013819456100463867,-0.13381296396255493
0,0.0,0.0,-0.0713779628276825,-0.007898926734924316,-0.14279088377952576,-0.07519441843032837,-0.16730573773384094,-0.15576234459877014,-0.1336567997932434,-0.20910155773162842,-0.12171497941017151,-0.17747190594673157,-0.15487712621688843,-0.19991150498390198,-0.1359856128692627,-0.13342732191085815,-0.12064915895462036,-0.13040995597839355,-0.08351105451583862,-0.19692686200141907,-0.11569434404373169,-0.2113860845565796,-0.09354087710380554,-0.12686526775360107,-0.07624983787536621,-0.13199830055236816,-0.042858779430389404,-0.20459941029548645,-0.07290050387382507,-0.20177462697029114,-0.056060075759887695,-0.12000828981399536,-0.041201651096343994,-0.12506699562072754,0.0024880170822143555,-0.20470982789993286,-0.03187823295593262,-0.19392406940460205,-0.02544987201690674,-0.13315868377685547,-0.012342572212219238,-0.13152045011520386
0,0.0,0.0,-0.07724374532699585,-0.01055145263671875,-0.14482638239860535,-0.08157014846801758,-0.16532474756240845,-0.1617983877658844,-0.1343083381652832,-0.215328186750412,-0.12193644046783447,-0.1754550337791443,-0.1545160412788391,-0.20407843589782715,-0.13633275032043457,-0.1375003457069397,-0.12050074338912964,-0.13234639167785645,-0.08464735746383667,-0.19470155239105225,-0.11577734351158142,-0.21534600853919983,-0.09355568885803223,-0.13028675317764282,-0.07489988207817078,-0.1363915205001831,-0.04353863000869751,-0.20312786102294922,-0.07278278470039368,-0.20722323656082153,-0.056245625019073486,-0.12460333108901978,-0.0409504771232605,-0.13052618503570557,0.0030312538146972656,-0.20430299639701843,-0.03107929229736328,-0.20342949032783508,-0.025562703609466553,-0.14282041788101196,-0.012267827987670898,-0.14094573259353638
0,0.0,0.0,-0.0799153745174408,-0.012968778610229492,-0.14423397183418274,-0.0798494815826416,-0.1614842712879181,-0.1605045199394226,-0.13193589448928833,-0.21013611555099487,-0.11809316277503967,-0.1605636179447174,-0.14939534664154053,-0.21070587635040283,-0.13413727283477783,-0.14515429735183716,-0.1167529821395874,-0.1261380910873413,-0.08110970258712769,-0.1748662292957306,-0.110504150390625,-0.21752315759658813,-0.0917927622795105,-0.13521701097488403,-0.07327717542648315,-0.13032114505767822,-0.04027235507965088,-0.18318769335746765,-0.06891801953315735,-0.21452003717422485,-0.055272042751312256,-0.13027137517929077,-0.03830784559249878,-0.12266379594802856,0.008389472961425781,-0.1871758997440338,-0.025381922721862793,-0.21066641807556152,-0.02209550142288208,-0.1470300555229187,-0.007403969764709473,-0.1327647566795349
0,0.0,0.0,-0.08445879817008972,-0.019820451736450195,-0.15047705173492432,-0.09461724758148193,-0.1677437424659729,-0.1759900450706482,-0.13541433215141296,-0.2195715308189392,-0.1180715560913086,-0.17049139738082886,-0.14681783318519592,-0.2178790271282196,-0.133164644241333,-0.1550358533859253,-0.11443498730659485,-0.12716615200042725,-0.08168098330497742,-0.1872018575668335,-0.11028999090194702,-0.2229534387588501,-0.09322750568389893,-0.14883702993392944,-0.07138264179229736,-0.13587647676467896,-0.04151463508605957,-0.19637510180473328,-0.07066971063613892,-0.22056683897972107,-0.05742049217224121,-0.14518952369689941,-0.03841829299926758,-0.13257211446762085,0.005559802055358887,-0.19826367497444153,-0.02748185396194458,-0.2166706621646881,-0.024846315383911133,-0.1596793830394745,-0.009688735008239746,-0.14557939767837524
0,0.0,0.0,-0.08378422260284424,-0.0179021954536438,-0.15001434087753296,-0.09465354681015015,-0.1653418242931366,-0.17217570543289185,-0.1412104070186615,-0.21799755096435547,-0.12099206447601318,-0.16151347756385803,-0.14693757891654968,-0.20477643609046936,-0.14215624332427979,-0.1442323923110962,-0.13012626767158508,-0.11179906129837036,-0.08675789833068848,-0.18170294165611267,-0.11280101537704468,-0.21860796213150024,-0.10339182615280151,-0.15227794647216797,-0.08608216047286987,-0.1261669397354126,-0.04728668928146362,-0.1959971785545349,-0.0793115496635437,-0.22213593125343323,-0.06729334592819214,-0.1546250581741333,-0.04860246181488037,-0.12951737642288208,-0.0029212236404418945,-0.203893780708313,-0.03980022668838501,-0.21632787585258484,-0.035867273807525635,-0.1642557680606842,-0.020282387733459473,-0.14452946186065674
0,0.0,0.0,-0.08149415254592896,-0.019962728023529053,-0.14714974164962769,-0.08852416276931763,-0.16596052050590515,-0.15468305349349976,-0.15633106231689453,-0.1925225853919983,-0.11268782615661621,-0.16631290316581726,-0.1434541940689087,-0.19472885131835938,-0.1361677646636963,-0.13946235179901123,-0.12452542781829834,-0.10883438587188721,-0.07926690578460693,-0.1855490803718567,-0.10914397239685059,-0.20880550146102905,-0.09530264139175415,-0.14480730891227722,-0.07709860801696777,-0.11676496267318726,-0.04089522361755371,-0.1966075599193573,-0.07463383674621582,-0.21405822038650513,-0.059936344623565674,-0.14938262104988098,-0.04282301664352417,-0.12114065885543823,0.0007464885711669922,-0.19863095879554749,-0.03324073553085327,-0.20702680945396423,-0.027864456176757812,-0.15612080693244934,-0.014737367630004883,-0.13550686836242676
0,0.0,0.0,-0.07007575035095215,-0.008694946765899658,-0.13361814618110657,-0.0697069764137268,-0.1683914065361023,-0.12536323070526123,-0.1926424205303192,-0.15669679641723633,-0.12172043323516846,-0.154788076877594,-0.14897635579109192,-0.17714545130729675,-0.12777146697044373,-0.12009751796722412,-0.11731892824172974,-0.10847103595733643,-0.08611953258514404,-0.17598485946655273,-0.11266368627548218,-0.19586622714996338,-0.08723336458206177,-0.12661093473434448,-0.07344388961791992,-0.1194157600402832,-0.04561096429824829,-0.18694299459457397,-0.07320564985275269,-0.20069342851638794,-0.05086851119995117,-0.1322323977947235,-0.03741949796676636,-0.12377303838729858,-0.0022050142288208008,-0.18996798992156982,-0.02694559097290039,-0.20161223411560059,-0.018321514129638672,-0.15179377794265747,-0.008152484893798828,-0.14165493845939636
